NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
39,"Rumah Modern Minimalis 3 Lantai Full Furnished di Tebet Jakarta Selatan, Tebet, Jakarta Selatan","0,0516","0,0677","0,0684","0,5000","0,5556","0,0000"
40,"Rumah Tebet Dalam Jakarta Selatan, Tebet, Jakarta Selatan","0,0469","0,1195","0,0899","0,2500","0,1111","0,0000"
41,"rumah lama layak huni strategis dekat jalan tebet raya, Tebet, Jakarta Selatan","0,0234","0,0536","0,0267","0,2500","0,0000","0,0000"
42,"Rumah Huk, Tebet ,SHM+IMB ,menteng dalem , jakarta Selatan, Tebet, Jakarta Selatan","0,0586","0,1101","0,1055","0,3750","0,4444","0,0000"
43,"Rumah di tebet, Jakarta Selatan, dekat tol, Tebet, Jakarta Selatan","0,3438","0,6463","0,4131","0,7500","0,5556","0,3333"
44,"Rumah Cantik 3 Lt @Brand New Akses Jalan 2 Mobil TERMURAH di Tebet Timur, Tebet, Jakarta Selatan","0,0531","0,1759","0,0312","0,5000","0,4444","0,1111"
45,"Rumah cantik, minimalis , strategis & murah di Tebet, Tebet, Jakarta Selatan","0,0547","0,1477","0,0639","0,3750","0,3333","0,1111"
46,"hunian asri diselatan jakarta, Tebet, Jakarta Selatan","0,0625","0,1759","0,0936","0,3750","0,2222","0,1111"
47,"Rumah Mewah Cantik Asri Siap Huni Di Gudang Peluru Tebet Jakarta Selatan, Tebet, Jakarta Selatan","0,1875","0,1289","0,2519","0,3750","0,2222","0,0000"
48,"Rumah ditebet barat1, Tebet, Jakarta Selatan","0,0492","0,1439","0,0602","0,3750","0,3333","0,0000"
49,"Rumah Tebet Barat Dalam XB, Tebet, Jakarta Selatan","0,0438","0,1853","0,0565","0,5000","0,2222","0,1111"
50,"Rumah Bagus dan Minimalis Tebet, Tebet, Jakarta Selatan","0,1109","0,1712","0,1382","0,1250","0,2222","0,1111"
51,"Rumah terawat siap huni bagus jalanan dua mobil di Tebet, Tebet, Jakarta Selatan","0,0664","0,0790","0,0401","0,2500","0,2222","0,1111"
52,"Rumah Asri Dan Sangat Strateaigis Di Tebet, Tebet, Jakarta Selatan","0,0547","0,0536","0,0676","0,5000","0,3333","0,1111"
53,"Rumah Lokasi Strategis Dekat Jalan Raya di Tebet, Tebet, Jakarta Selatan","0,0813","0,1007","0,1085","0,7500","0,4444","0,1111"
54,"rumah tebet, bonus apartemen dan mobil, Tebet, Jakarta Selatan","0,0859","0,1759","0,1085","0,5000","0,2222","0,1111"
55,"Rumah Baru Murah di Tebet Timur Jakarta Selatan, Tebet, Jakarta Selatan","0,0391","0,1007","0,0431","0,2500","0,4444","0,1111"
56,"Rumah Tebet Jalan 2 Mobil Lokasi Strategis, Tebet, Jakarta Selatan","0,0344","0,0818","0,0565","0,1250","0,1111","0,0000"
57,"RUMAH BARU MURAH SIAP HUNI DI TEBET TIMUR JAKRTA - YUNIA , 081282940124, Tebet, Jakarta Selatan","0,0437","0,1289","0,0565","0,1250","0,2222","0,0000"
58,"Rumah Bagus, Siap Huni, Tebet, Jakarta Selatan","0,0781","0,1759","0,1070","0,6250","0,3333","0,1111"
59,"Rumah Second Hook Lokasi Premium Di Tebet - YUNIA 081282940124, Tebet, Jakarta Selatan","0,1373","0,3198","0,2519","0,3750","0,2222","0,1111"
60,"rumah tinggal tempati., Tebet, Jakarta Selatan","0,0703","0,1007","0,1605","0,5000","0,2222","0,0000"
61,"Rumah Tebet Murah Lokasi Strategis Ramai Jakarta Selatan, Tebet, Jakarta Selatan","0,0367","0,0536","0,0602","0,2500","0,2222","0,0000"
62,"RUMAH TEBET 165m2 SIAP HUNI HUB : 081280069222 FIFI PR-15815, Tebet, Jakarta Selatan","0,0391","0,1759","0,0825","0,5000","0,3333","0,1111"
