NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
187,Tebet Rumah Jalan 2 Mobil Harga Menarik,"0,0406","0,1007","0,0684","0,2500","0,2222","0,1111"
188,"Dijual Cepat Rumah Di Kebon Baru, Tebet","0,0219","0,0790","0,0743","0,1250","0,1111","0,0000"
189,Dijual Cepat Rumah Bagus Di Tebet,"0,5781","0,4111","0,4948","0,5000","0,5556","0,2222"
190,Rumah Asri Dijual Cepat Di Tebet,"0,0609","0,1091","0,0773","0,2500","0,3333","0,1111"
191,Rumah Asri Di Tebet Dijual Cepat,"0,0352","0,1759","0,0676","0,7500","0,7778","0,1111"
192,"Rumah Asri Di Tebet, Dijual Cepat","0,1406","0,5052","0,1872","0,5000","0,4444","0,2222"
193,Rumah Dijual Di Tebet,"0,1797","0,1759","0,1003","0,5000","0,3333","0,1111"
194,Rumah Dijual Di Tebet,"0,0703","0,1289","0,0713","0,3750","0,2222","0,0000"
195,Rumah Asri Di Tebet,"0,0781","0,0818","0,0780","0,3750","0,3333","0,1111"
196,"Rumah Di Tebet, Dijual Cepat","0,0625","0,1289","0,0565","0,3750","0,3333","0,0000"
197,Rumah Asri Di Tebet Dijual,"0,0781","0,2606","0,0884","0,3750","0,3333","0,1111"
198,Rumah Dijual Di Tebet,"0,0719","0,0875","0,1025","0,5000","0,1111","0,1111"
199,Rumah Asri Di Tebet - Dijual Cepat,"0,0430","0,2230","0,0936","0,3750","0,2222","0,1111"
200,"Rumah Asri Di Kebon Baru, Tebet - Dijual Cepat","0,0719","0,1759","0,1270","0,3750","0,2222","0,1111"
201,Rumah Asri Di Tebet - Dijual Cepat,"0,0344","0,0818","0,0193","0,3750","0,2222","0,0000"
202,"Dijual Rumah Minimalis Siap Huni Daerah Tebet, Jakarta Selatan","0,0234","0,0724","0,0171","0,1250","0,2222","0,0000"
203,"Dijual Rumah Lama Layak Huni Daerah Tebet , Jakarta Selatan","0,1391","0,1289","0,2125","0,2500","0,3333","0,0000"
204,Rumah baru tebet timur,"0,0438","0,1289","0,0565","0,1250","0,2222","0,1111"
205,Dijual Rumah Komplek Tebet Barat Lokasi Premium Nyaman Jalan Lebar,"0,1328","0,2230","0,2333","0,2500","0,2222","0,2222"
206,Dijual Rumah Komplek Gudang Peluru Lokasi Premium Nyaman Jalan 3 Mobil,"0,1406","0,2700","0,1627","0,2500","0,2222","0,3333"
207,Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil,"0,1797","0,3782","0,2199","0,5000","0,5556","0,1111"
208,"Rumah Tua Hook di Tebet, Jakarta Selatan. Akses Mobil dan Ada Garasi","0,0266","0,0677","0,0713","0,2500","0,1111","0,2222"
209,"Tebet barat rumah modern minimalis private pool, jakarta selatan","0,1375","0,3170","0,1441","0,3750","0,4444","0,2222"
210,"TEBET BARAT RAYA Rumah Hitung Tanah Cocok Tinggal, Kantor dan Usaha, Bisa Belah 2 Dekat Taman Honda","0,1641","0,3170","0,1828","0,8750","0,5556","0,5556"
211,"Rumah Siap Huni di Tebet Dalam IV, Jln 1 Mobil Dekat ke 3 Mobil, Sudah Sertifikat","0,0250","0,0536","0,0654","0,2500","0,1111","0,0000"
212,Dijual Cepat Rumah Kavling di Tebet Ready 3 Unit,"0,0328","0,0536","0,0238","0,3750","0,3333","0,1111"
213,Rumah Tebet Saharjo,"0,0570","0,2418","0,0602","0,5000","0,4444","0,0000"
214,Rumah Cantik Tebet,"0,1211","0,1759","0,1085","0,2500","0,3333","0,1111"
215,Dijual Rumah Cantik Tebet Brand New Lokasi Premium Nyaman Jalan Lebar,"0,0969","0,1759","0,0795","0,1250","0,2222","0,1111"
216,Dijual Rumah Lama Tebet Dalam Lokasi Strategis Tenang Jalan 2 Mobil,"0,1094","0,1759","0,1828","0,1250","0,2222","0,1111"
217,KEBON BARU Rumah Hitung Tanah Jalan Dua Mobil Lingkungan Nyaman,"0,0625","0,1759","0,2088","0,6250","0,4444","0,0000"
218,TEBET - SIAP HUNI di Jalan 2 Mobil,"0,1172","0,1853","0,1501","0,3750","0,4444","0,1111"
219,Rumah Komersial area Tebet Raya,"0,4219","0,8815","0,5357","0,3750","0,2222","0,4444"
220,Rumah Tebet Siap Huni Kompleks Gudang Peluru Tebet,"0,1328","0,3170","0,2162","0,3750","0,2222","0,0000"
221,Dijual Rumah Second Akses 1 Mobil di Tebet Dalam Jakarta Selatan,"0,0438","0,1289","0,0639","0,2500","0,2222","0,0000"
222,Rumah Minimalis Jalan 1 Mobil Tebet,"0,0258","0,0583","0,0267","0,1250","0,2222","0,1111"
223,Dijual Rumah Cantik Tebet Lokasi Strategis Nyaman Jalan 2 Mobil,"0,1719","0,1571","0,1412","0,3750","0,3333","0,2222"
224,"Rumah Hitung Tanah di Komplek Kejaksaan Tebet Barat, Belakang Gelael, Dekat Pintu Tol MT Haryono","0,0359","0,1007","0,0743","0,3750","0,2222","0,1111"
225,"Rumah di Tebet Timur Dalam I, Jln Besar 3 Mobil, Seberang Electronic City, Lebar Muka 8 Meter","0,0453","0,1853","0,0684","0,1250","0,0000","0,0000"
226,Rumah Tua Akses Jalan 2 Mobil Di Tebet Barat Jakarta Selatan,"0,1063","0,1289","0,1478","0,2500","0,2222","0,2222"
227,Rumah Brand New Di Tebet Barat,"0,0578","0,1289","0,0713","0,2500","0,3333","0,1111"
228,For Sale Boarding House at Tebet & Furnished HSE-A0494,"0,1016","0,3584","0,1085","1,0000","1,0000","0,1111"
229,Rumah Lama Di Tebet Barat,"0,2344","0,3170","0,2571","0,3750","0,3333","0,3333"
230,"Jual Segera, Rumah Hitung Tanah Di Tebet Dalam","0,0250","0,0536","0,0654","0,1250","0,1111","0,0000"
231,"rumah siap huni dalam kompleks Tebet Mas, Tebet, Jakarta Selatan","0,1875","0,1759","0,1991","0,2500","0,2222","0,1111"
232,"Rumah 100% Baru Di Tebet, Murah, Jalan 2 Mobil, Tebet, Jakarta Selatan","0,0547","0,1759","0,0312","0,2500","0,4444","0,1111"
233,"rumah siap huni di lokasi kebon baru, tebet, jakarta selatan","0,0445","0,1289","0,0981","0,1250","0,1111","0,1111"
234,"Rumah siap huni dijual, murah, tebet, Jakarta Selatan","0,0141","0,0583","0,0587","0,1250","0,2222","0,0000"
NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
235,"Rumah Modern di Tebet dekat Stasiun, Tebet, Jakarta Selatan","0,1094","0,0988","0,1241","0,3750","0,2222","0,1111"
236,"Rumah Mewah 2 Lantai Hanya 3 Menit Ke Tebet, Tebet, Jakarta Selatan","0,2188","0,3923","0,2407","0,3750","0,3333","0,0000"
237,"Rumah Bagus Tebet komp Gudang Peluru lt 350m, Tebet, Jakarta Selatan","0,0266","0,0583","0,0267","0,1250","0,2222","0,1111"
238,"Rumah Mewah Modern Murah 3 lantai di Tebet Jakarta Selatan, Tebet, Jakarta Selatan","0,2656","0,6933","0,2281","0,3750","0,3333","0,0000"
239,"Rumah lama di Tebet, dekat MT Haryono dan tol dalam kota, jalan 1 mobil hanya 30M dr jln besar, Tebet, Jakarta Selatan","0,0547","0,1759","0,0312","0,3750","0,3333","0,0000"
240,"Minimalis Baru Jalan 2 Mobil Tebet Timur, Tebet, Jakarta Selatan","0,0859","0,1289","0,1248","0,2500","0,1111","0,0000"
241,"Brand New house di Tebet Barat, Tebet, Jakarta Selatan","0,0469","0,1289","0,0684","0,1250","0,0000","0,0000"
242,"Rumah Mewah di TEBET, Tebet, Jakarta Selatan","0,0469","0,0818","0,0490","0,2500","0,2222","0,0000"
243,"Rumah bagus di tebet, jakarta selatan, Tebet, Jakarta Selatan","0,0469","0,1759","0,0602","0,2500","0,4444","0,0000"
244,"#BAWAHNJOP#MURAH#CASHONLY#LELANG# RUMAH ASEM BARIS RAYAI COCOK UNTUK USAHA DEKAT SAAS, Tebet, Jakarta Selatan","0,1250","0,3829","0,2221","0,8750","0,5556","0,2222"
245,"Rukan Baru Siap Pakai di Tebet Jakarta Selatan, Tebet, Jakarta Selatan","0,1016","0,1289","0,1738","0,2500","0,1111","0,0000"
246,"Rumah bebas banjir di kebon baru tebet, Tebet, Jakarta Selatan","0,0703","0,1289","0,2972","0,1250","0,3333","0,0000"
247,"Rumah jalan 2 mobil, Tebet, Jakarta Selatan","0,3438","0,2700","0,3796","0,3750","0,2222","0,3333"
248,"Rumah standard hitung tanah di tebet dalam jakarta selatan, Tebet, Jakarta Selatan","1,0000","0,2230","0,1085","0,3750","0,6667","0,3333"
249,"RUMAH MEWAH CANTIK DI MENTENG DALAM TEBET JAKARTA SELATAN, Tebet, Jakarta Selatan","0,1133","0,3170","0,1308","0,5000","0,3333","0,1111"
250,"BRAND NEW 3 LANTAI DENGAN FASILITAS KOLAM RENANG DI TEBET - JAKSEL, Tebet, Jakarta Selatan","0,1172","0,2230","0,1122","0,2500","0,3333","0,3333"
251,"Rumah mewah 2 Lantai Murah full furnished bebas banjir di lokasi strategis rasamala tebet jakarta selatan, Tebet, Jakarta Selatan","0,1523","0,1289","0,1003","0,3750","0,3333","0,2222"
252,"Rumah di Tebet timur, Tebet, Jakarta Selatan","0,0228","0,0960","0,0602","0,2500","0,2222","0,0000"
253,"Rumah di Tebet , kebon baru , jakarta selatan, Tebet, Jakarta Selatan","0,0391","0,0583","0,0736","0,1250","0,1111","0,0000"
254,"Rumah 1.5 Lt Di Asem Baris Tebet Jakarta Selatan, Tebet, Jakarta Selatan","0,4531","0,7074","0,1917","1,0000","0,6667","0,0000"
255,"Rumah siap huni, Tebet, Jakarta Selatan","0,0703","0,2041","0,1204","0,2500","0,2222","0,2222"
256,"Rumah Baru, Bagus, di tebet Barat, Jajarta Selatan, Tebet, Jakarta Selatan","0,1406","0,2230","0,2333","0,2500","0,3333","0,3333"
257,"Rumah Minimalis Plus Mini Swimming Pool , Tebet, Tebet, Jakarta Selatan","0,3891","0,5052","0,7318","0,6250","0,4444","1,0000"
258,"Rumah Bagus Siap Huni, Tebet, Jakarta Selatan","0,0312","0,0367","0,0357","0,1250","0,2222","0,1111"
259,"Rumah Brand New Minimalis Elegan 2 Lantai Lokasi Strategis 5 Menit Ke Stasiun di Tebet, Tebet, Jakarta Selatan","0,0765","0,2700","0,0565","0,5000","0,5556","0,2222"
260,"Rumah Daerah Tebet, Tebet, Jakarta Selatan","0,0351","0,0536","0,0728","0,2500","0,3333","0,3333"
261,"Rumah Mewah Furnished Tebet Barat Swimming Poll Akses Patra Kuningan, Tebet, Jakarta Selatan","0,0742","0,2418","0,0958","0,5000","0,2222","0,2222"
262,"Rumah mewah hook siap huni dan terawat di gudang peluru tebet, Tebet, Jakarta Selatan","0,0859","0,2230","0,1181","0,3750","0,3333","0,3333"
263,"Rumah tebet, Tebet, Jakarta Selatan","0,0859","0,1477","0,0944","0,7500","0,5556","0,0000"
264,"Rumah baru Minimalis, Tebet, Jakarta Selatan","0,0594","0,1759","0,0862","0,2500","0,3333","0,2222"
265,"Rumah Minimalis 3 Lantai lokasi strategis bebas banjir ada mini kolam renang di tebet jakarta selatan, Tebet, Jakarta Selatan","0,2344","0,4111","0,2719","0,2500","0,3333","0,3333"
267,Tebet Dalam Rumah Siap Huni Dalam Komplek,"0,1875","0,2982","0,1917","0,2500","0,2222","0,1111"
268,Rumah Siap Huni Dijual Jalan 2 Mobil,"0,0938","0,1101","0,1701","0,2500","0,2222","0,1111"
269,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0281","0,1759","0,0267","0,2500","0,2222","0,1111"
270,Dijual Rumah Tebet Timur Raya Depan Taman Honda,"0,3125","0,5174","0,4153","0,8750","0,3333","0,1111"
271,Dijual Rumah Tebet Lokasi Strategis Nyaman Depan Taman Jalan 1 Mobil,"0,0516","0,0508","0,1122","0,2500","0,2222","0,2222"
272,Dijual Rumah Tebet Timur Lokasi Premium Nyaman Jalan 2 Mobil,"0,0516","0,1289","0,0676","0,1250","0,2222","0,1111"
273,Dijual Rumah Hitung Tanah Asem Baris Raya Lokasi Strategis Aman Jalan Raya,"0,0703","0,2230","0,1575","0,5000","0,3333","0,3333"
274,Jual Rumah Di Tebet Jakarta Selatan,"0,1250","0,3829","0,2221","0,8750","0,5556","0,2222"
275,"Rumah Bagus Akses Jalan 2 Mobil TERMURAH di Tebet Utara, Jaksel","0,0391","0,1195","0,0342","0,3750","0,3333","0,1111"
276,"Rumah Megah SIAP HUNI TERMURAH di Tebet Timur, Jakarta Selatan","0,1875","0,3170","0,2786","0,8750","0,4444","0,4444"
277,Rumah Siap Huni Di Asem Baris Kebon Baru Tebet Jakarta Selatan,"0,0203","0,0913","0,0602","0,2500","0,2222","0,0000"
278,Tebet rumah dijual jalan 2 mobil lebar lokasi strategis,"0,0953","0,1289","0,1501","0,3750","0,2222","0,2222"
279,Rumah Siap Huni 2lantai Akses 2mbl Lokasi Tebet Barat,"0,0469","0,0818","0,0342","0,1250","0,2222","0,0000"
280,Rumah Siap Huni Akses jalan 2 mobil di asem baris tebet,"0,0469","0,0762","0,0535","0,2500","0,1111","0,2222"
281,Dijual rumah tua perlu renovasi akses jalan 2mobil lokasi dekat lapangsn bola pspt,"0,0430","0,0818","0,0602","0,1250","0,1111","0,0000"
282,Rumah Bagus Siap Huni Di Tebet Timur Dalam Jak Sel,"0,0469","0,0818","0,0639","0,2500","0,1111","0,1111"
283,Rumah Mewah 3 Lantai Jalan Swadaya I Tebet ( FA),"0,0781","0,3641","0,1530","0,6250","0,3333","0,0000"
284,"Rumah Baru 2 Lt Dekat Taman dan Pasar Tebet Barat PALING MURAH di Tebet Barat, Jakarta","0,0242","0,0818","0,0267","0,2500","0,3333","0,1111"
285,Dijual Rumah Second Strategis Tanah Luas di Tebet,"0,3438","0,2700","0,3796","0,3750","0,2222","0,3333"
286,Rumah Clasic Asem Baris Tebet Jakarta Selatan Hitung Tanah Saja Setrategis Dekat Mt Haryono,"0,1281","0,5522","0,4762","0,8750","0,5556","0,0000"
287,Rumah lama hitung Tanah di Tebet,"0,1016","0,1101","0,1478","0,1250","0,1111","0,0000"
288,Rumah Tebet Hitung Tanah,"0,2070","0,2700","0,2519","0,3750","0,3333","0,0000"
289,Brand New House Di Lokasi Iconic Tebet,"0,0469","0,1439","0,0602","0,3750","0,3333","0,1111"
290,Tebet Rumah Minimalis,"0,0758","0,1477","0,0624","0,2500","0,2222","0,1111"
291,Rumah Minimalis Bagus Tebet Timur,"0,0266","0,0913","0,0267","0,1250","0,2222","0,0000"
292,Dijual Rumah Tebet Hitung Tanah Lokasi Strategis Jalan 1 Mobil,"0,0352","0,1289","0,0765","0,6250","0,2222","0,0000"
293,Rumah tebet jalan lebar nyaman keamanan 24 jam dekat kemana mana,"0,1375","0,2700","0,1434","0,2500","0,2222","0,1111"
294,Dijual Rumah Asri Komplek Tebet Mas Lokasi Premium Nyaman Jalan 2 Mobil,"0,1719","0,2700","0,1360","0,2500","0,2222","0,1111"
295,Rumah dijual di Tebet Raya,"0,2734","0,2230","0,3462","0,3750","0,3333","0,1111"
296,"Rumah Mewah Di Tebet Turun Harga Menjadi Rp 14,5 M, Ada Swimmung Pool","0,2109","0,4111","0,1880","1,0000","0,6667","0,1111"
297,Rumah Di Jual Di Tebet,"0,1125","0,2230","0,1530","0,2500","0,3333","0,2222"
298,"Rumah Di Jual, Brand New, Tebet Barat ","0,0266","0,0536","0,0282","0,1250","0,2222","0,1111"
299,"Dijual Rumah minimalis di Bukit Duri, Tebet","0,0234","0,0546","0,0342","0,1250","0,1111","0,1111"
300,"Rumah Hoek Tebet Jakarta Mewah, Lokasi Strategis Selangkah ke Masjid","0,1391","0,2700","0,1456","0,3750","0,2222","0,1111"
301,"Rumah Tebet Jakarta Selatan, depan Lapangan, Dijual Cepat Harga BU","0,0500","0,2088","0,0788","0,3750","0,5556","0,0000"
302,Rumah Di Tengah Pusat Bisnis Dekat Jalan Gatot Subroto Jaksel,"0,1406","0,2728","0,3574","1,0000","1,0000","0,6667"
303,Rumah Dalam Komplek Di Gudang Peluru - Tebet Blok N348,"0,0625","0,1477","0,1211","0,1250","0,2222","0,0000"
304,"Tebet, Siap Huni, jalan 2 mobil","0,0516","0,1759","0,0267","0,2500","0,3333","0,1111"
305,Rumah 2 Lantai Lokasi Strategis Akses 2 Mbl Asem Baris Tebet,"0,0313","0,1759","0,0527","0,1250","0,1111","0,0000"
306,Rumah Lama Layak Huni Akses 2 Mbl Lapangan Ros Tebet Jaksel,"0,0313","0,0630","0,0862","0,2500","0,2222","0,0000"
307,Rumah Baru Design Modern Posisi Hook Lokasi Tebet Timur,"0,0375","0,1007","0,0416","0,2500","0,3333","0,1111"
308,rumah baru 2lantai siap huni akses jalan 1mobil lokasi tebet timur,"0,0344","0,0818","0,0267","0,1250","0,1111","0,0000"
309,Rumah Siap Huni Akses 1mobil Lokasi Tebet Timur,"0,0313","0,0818","0,0416","0,2500","0,2222","0,1111"
310,Rumah Baru Siap Huni Semi Furnish Akses 1mobil Lokasi Tebet Utara,"0,0344","0,1383","0,0275","0,3750","0,2222","0,0000"
311,Dijual rumah baru Lokasi tbt timur,"0,0359","0,0818","0,0267","0,1250","0,1111","0,0000"
312,"Rumah Siap Huni Di Tebet, Lingkungan Nyaman","0,0734","0,1759","0,1010","0,2500","0,2222","0,0000"
313,Rumah Siap Huni Di Kebon Baru Jaksel,"0,0172","0,1176","0,0527","0,5000","0,3333","0,0000"
314,Di jual Rumah di tebet,"0,0469","0,0245","0,0899","0,1250","0,2222","0,1111"
315,good house at jaksel tebet,"0,0188","0,0536","0,1233","0,3750","0,2222","0,0000"
316,goood house at jakarta selatan tebet,"0,1172","0,1609","0,1828","0,3750","0,3333","0,0000"
317,Jual Cepat Rumah Di Tebet,"0,1484","0,2700","0,1434","0,3750","0,4444","0,2222"
318,Rumah Tebet Dekat Mall Kokas BU Harga Covid,"0,0140","0,0818","0,0602","0,2500","0,1111","0,0000"
319,Rumah Tebet Barat Dalam Jakarta Selatan,"0,1250","0,3161","0,2452","0,1250","0,2222","0,0000"
320,Dijual Termurah Rumah Siap Huni di Tebet Utara Jakarta Selatan,"0,0391","0,1101","0,0342","0,3750","0,3333","0,0000"
321,TEBET MAS Rumah Nyaman Dalam Komplek Elit Dekat Taman JARANG ADA,"0,1875","0,1759","0,1991","0,2500","0,2222","0,1111"
322,"Dijual Rumah di Tebet Utara, akses 2 mobil, Jakarta Selatan","0,1063","0,0913","0,1538","0,1250","0,3333","0,1111"
323,Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan Lebar,"0,1094","0,1289","0,1100","0,3750","0,2222","0,2222"
324,Dijual Murah Rumah Mewah di Tebet Utara Jakarta Selatan,"0,1094","0,3641","0,1872","0,3750","0,3333","0,0000"
325,Rumah Lama Layak Huni Tebet Jak Sel,"0,0297","0,0254","0,0602","0,0000","0,0000","0,0000"
326,Rumah Siap Huni Baru Renovasi Di Tebet Utara Jak Sel,"0,0234","0,0395","0,0000","0,1250","0,1111","0,0000"
327,Rumah Siap Huni Model Minimalis Di Tebet Jakarta Selatan,"0,0250","0,1101","0,0305","0,2500","0,1111","0,0000"
328,TEBET - Bagus Untuk Investasi di Jalan 1 Mobil,"0,0266","0,0536","0,0654","0,1250","0,1111","0,0000"
329,Rumah dijual di Tebet,"0,0766","0,2606","0,0594","0,3750","0,3333","0,2222"
330,Rumah huk di Tebet jalan satu mobil lebar,"0,0313","0,1759","0,0713","0,1250","0,2222","0,1111"
331,Rumah baru di Tebet Barat dekat jalan dua mobil,"0,0391","0,0913","0,0475","0,2500","0,3333","0,1111"
332,Rumah di Tebet Barat bagus terawat dekat fasum,"0,0344","0,0611","0,0624","0,1250","0,1111","0,0000"
333,"TEBET - Siap Huni, Bagus, Akses 2 Mobil","0,0672","0,1289","0,0676","0,1250","0,2222","0,1111"
334,"TEBET - Depan Taman, Baru, Jalan 2 Mobil","0,0859","0,1477","0,0713","0,1250","0,2222","0,0000"
335,Jual Cepat Rumah Di Casablanca Jakarta Selatan,"0,0781","0,2230","0,1709","0,6250","0,2222","0,2222"
336,"Rumah Baru dijual di Tebet Barat, lokasi strategis","0,0391","0,1289","0,0602","0,1250","0,2222","0,1111"
337,"Dijual Rumah Di Jl. Kebon Baru Utara, Tebet Jakarta Selatan","0,0278","0,1214","0,0490","0,3750","0,3333","0,1111"
338,Rumah baru 100% bergaya mewah tebet Jakarta selatan,"0,0438","0,0913","0,0825","0,2500","0,2222","0,0000"
339,Dijual Rumah Baru Dengan Design Minimalis Di Tebet,"0,0547","0,1054","0,0527","0,1250","0,2222","0,1111"
340,"Dijual Rumah Brand New, Ada Taman, Lingkungan Tenang Di Tebet Barat","0,0859","0,2700","0,1308","0,2500","0,3333","0,1111"
341,Dijual Rumah Dalam Komplek Elit Tebet Mas Lokasi Paling Premium di Tebet,"0,0703","0,2230","0,0639","0,1250","0,2222","0,1111"
342,"Dijual Rumah di Tebet Utara, akses 2 mobil","0,1063","0,0913","0,1538","0,1250","0,3333","0,1111"
343,TERJUAL Rumah Di Bukit Duri Area Komersil,"0,0453","0,0818","0,1456","0,2500","0,1111","0,1111"
344,DIJUAL CEPAT HARGA MURAH ( BU CEPAT) Rumah 700 m2 Di TEBET,"0,1281","0,3641","0,4799","0,7500","0,3333","0,3333"
345,Dijual rumah siap huni 2lantai full strategis dekat kokas akes jalan2mobil lokasi menteng dalam,"0,0188","0,0818","0,0208","0,3750","0,1111","0,1111"
346,Rumah Siap Huni Hanya 50m Dari Dan Ke Asem Baris Raya Tebet,"0,0172","0,0348","0,0535","0,0000","0,1111","0,0000"
347,Rumah Bagus Siap Huni Pinggir Jalan 2 Mbl Asem Baris Tebet,"0,0180","0,0536","0,0602","0,1250","0,1111","0,0000"
348,"Dijual rumah di Asem baris, Akses jalan 2 mobil","0,0156","0,0348","0,0423","0,0000","0,1111","0,0000"
349,Rumah baru siap huni di tebet barat,"0,0469","0,1439","0,0602","0,3750","0,3333","0,1111"
350,TEBET RAYA Rumah Layak Huni Dekan Stasiun,"0,3281","0,2700","0,2927","0,5000","0,6667","0,1111"
351,Dijual Rumah Komplek Tebet Lokasi Premium Tenang Jalan Lebar,"0,1875","0,1439","0,2452","0,1250","0,2222","0,1111"
352,TEBET RAYA Jalan Lebar Cocok Untuk Resto dan Kantor,"0,2188","0,1637","0,2474","0,3750","0,3333","0,2222"
353,TEBET RAYA AREA KOMERSIL Rumah Siap Huni Bisa Dibangun 4 Lantai,"0,3281","0,2230","0,3462","0,2500","0,3333","0,1111"
354,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,0188","0,0536","0,0342","0,1250","0,1111","0,0000"
355,Rumah Second Terawat Dan Setrategis Tebet Jakarta Selatan,"0,3438","0,2700","0,3796","0,3750","0,2222","0,3333"
356,Rumah tebet dekat mall kokas,"0,0266","0,0677","0,0245","0,1250","0,1111","0,1111"
357,Rumah Baru di Jln Tebet Timur Jakarta Selatan,"0,0562","0,1007","0,0609","0,3750","0,3333","0,1111"
358,"Dijual Rumah 1,5 Lantai Di Tebet Dalam","0,3125","0,2230","0,3314","0,2500","0,2222","0,3333"
359,"Dijual Cepat Rumah Bagus di Tebet, Siap huni","0,0391","0,1007","0,0342","0,3750","0,2222","0,2222"
360,"Dijual Rumah Baru di Tebet, Elite","0,0453","0,1091","0,0654","0,3750","0,3333","0,1111"
361,"Dijual Brand New Rumah Tebet, Ada Swimming Pool","0,3750","0,5992","0,4198","0,3750","0,3333","1,0000"
362,"Dijual Rumah Baru di Tebet, Jalan 1 mobil Lebar, Jakarta Selatan","0,0453","0,1091","0,0654","0,3750","0,3333","0,1111"
363,"Dijual Rumah Elite di Tebet, Jakarta Selatan","0,0039","0,3923","0,1917","0,2500","0,1111","0,0000"
364,"Dijual Rumah Baru di Tebet, siap huni","0,0453","0,1571","0,0565","0,1250","0,3333","0,2222"
365,Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan Lebar,"0,1719","0,1665","0,1850","0,5000","0,5556","0,3333"
366,Rumah Nyaman Jalan Lebar Strategis Di Kebon Baru Dekat Stasiun Tebet,"0,0625","0,1994","0,1159","0,5000","0,4444","0,2222"
367,Rumah 2 Lantai Luas Murah Strategis Di Kebon Baru Dekat Stasiun Tebet,"0,0203","0,0818","0,0579","0,2500","0,2222","0,0000"
368,Dijual Rumah Strategis Komplek Gudang Peluru Jakarta Selatan,"0,1375","0,0931","0,2140","0,3750","0,2222","0,1111"
369,Rumah Murah Di Tebet Jaksel,"0,0906","0,4111","0,2779","0,3750","0,3333","0,3333"
370,"Rumah 2 Lantai Di Tebet Barat, Blakang Perkantoran Mt Haryono","0,1563","0,5052","0,2504","0,6250","0,4444","0,3333"
371,"Rumah Di Pinggir Jalan Tebet Barat Raya, SHM, Investasi Bagus","0,1641","0,2700","0,2571","0,8750","0,6667","0,5556"
372,Dijual Cepat Rumah Tebet Barat Dalam Lokasi Strategis Jakarta Selatan,"0,0406","0,0630","0,0810","0,1250","0,1111","0,1111"
373,"Rumah Tebet Bebas banjir, dekat pintu tol","0,3359","0,5992","0,4131","0,5000","0,3333","0,0000"
374,Rumah Mewah Dan Sangat Strategis Di Tebet,"0,1328","0,2606","0,1382","0,6250","0,3333","0,1111"
375,"Tebet Mas, lokasi OK depan taman","0,1875","0,1524","0,1991","0,2500","0,2222","0,1111"
376,Rumah Di tebet Barat,"0,0391","0,0254","0,0416","0,1250","0,2222","0,0000"
377,Rumah di tebet,"0,0391","0,1759","0,0275","0,2500","0,1111","0,1111"
378,Rumah Murah Di Tebet Jakarta Selatan Baru ,"0,0438","0,0856","0,0438","0,2500","0,3333","0,2222"
379,Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali,"0,0281","0,1759","0,0267","0,1250","0,2222","0,0000"
380,Dijual Rumah Mewah Terawat Di Daerah Tebet Hrg Menarik,"0,1992","0,5052","0,2786","0,5000","0,3333","0,0000"
381,Rumah Baru Tebet,"0,0813","0,1477","0,0713","0,2500","0,3333","0,1111"
382,"Dijual Rumah Asri, Tebet, Jakarta Selatan","0,0563","0,1289","0,0691","0,2500","0,2222","0,0000"
383,Rumah Lama di tebet berada di pusat kota jakarta selatan,"0,1719","0,2437","0,1991","0,2500","0,2222","0,1111"
384,di jual rumah bagus tebet,"0,0234","0,0292","0,0178","0,0000","0,1111","0,1111"
385,Rumah Lama Tebet Dijual Cepet Dengan Lokasi Strategis,"0,0234","0,0913","0,0602","0,1250","0,1111","0,1111"
386,Rumah Besar Bangunan Kokoh Siap Huni Di Kebon Baru Tebet Jak Sel,"0,1281","0,3641","0,4799","0,7500","0,3333","0,1111"
387,Dijual rumah hitung tanah di tebet dalam komplek jalan lebar,"0,0859","0,1449","0,1211","0,1250","0,1111","0,1111"
388,"Rumah Di Tebet Timur, Jalan 1 Mobil, Dekat 2 mobil","0,0500","0,0536","0,0661","0,5000","0,2222","0,1111"
389,"Rumah Di Tebet Barat Dalam, Jalan 2 Mobil, Strategis","0,0703","0,1289","0,1241","0,3750","0,1111","0,1111"
390,"Tebet rumah minimalis modern akses 2 mobil, jakarta selatan","0,0391","0,1195","0,0342","0,5000","0,3333","0,1111"
391,Rumah Dijual di Tebet Jakarta Selatan,"0,0391","0,2700","0,0342","0,2500","0,3333","0,1111"
392,Rumah murah dan strategis di tebet timur jakarta selatan,"0,1016","0,0818","0,1738","0,3750","0,2222","0,0000"
393,Rumah dua lantai di Tebet Barat Dalam Jakarta Selatan,"0,0391","0,1618","0,0639","0,3750","0,3333","0,1111"
394,"Rumah Siap Huni LT 170 M2 TERMURAH di Tebet Dalam, Jakarta Selatan","0,0391","0,1383","0,0862","0,5000","0,1111","0,1111"
